Description,1970,1980,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,3444354,3894025,4451497,4463343,4471462,4489876,4510588,4542912,4594911,4634063,4673889,4707496,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4921532
Alaska,302583,401851,627748,633538,641974,647671,659305,667114,675322,679893,685532,694690,713982,722349,730810,737626,737075,738430,742575,740983,736624,733603,731158
Arizona,1775399,2716546,5166304,5303869,5451472,5590820,5758692,5973970,6190987,6360238,6499207,6587653,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7421401
Arkansas,1923322,2286358,2678115,2690743,2704471,2722804,2746215,2776257,2814910,2841595,2867099,2887331,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3030522
California,19971071,23667764,33994383,34481753,34867773,35236589,35538256,35770688,35947461,36185908,36538008,36887615,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39368078
Colorado,2209596,2889735,4328277,4432779,4502883,4545766,4595674,4655731,4747872,4837229,4928676,5015155,5047539,5121900,5193660,5270774,5352637,5454328,5543844,5617421,5697155,5758486,5807719
Connecticut,3032217,3107564,3411506,3428043,3448145,3468319,3474379,3477185,3484531,3488084,3502664,3514826,3579173,3588632,3595211,3595792,3595697,3588561,3579830,3575324,3574561,3566022,3557006
Delaware,548104,594338,786417,794954,804636,815525,827154,840296,853301,865314,876794,884124,899647,907590,915518,924062,933131,942065,949989,957942,966985,976668,986809
Florida,6791418,9746959,16046148,16350988,16675166,16974177,17366358,17773291,18076361,18262096,18410241,18509936,18846143,19055607,19302016,19551678,19853880,20219111,20627237,20977089,21254926,21492056,21733312
Georgia,4587930,5462989,8230306,8418687,8582756,8727810,8907292,9090479,9323575,9526642,9690277,9813588,9712209,9803630,9903580,9975592,10071204,10183353,10308442,10417031,10519389,10628020,10710017
